locale|uk_UA

DIALOG_SALVAGE_EXPOSE_SLOW_K37_1|А ось це цікаво — старий Rusatom-Antonoff K37, позначення {random/ship/1/shipname}, дрейфує в А-кільці. Жодних сигналів біди, жодних слідів зіткнень. Просто… суцільна тиша. Перший, хто дістанеться туди, отримає приз!

DIALOG_SALVAGE_EXPOSE_SLOW_K37_2|Свіжий сигнал із полярного масиву телескопів: K37-TNTRL із відміткою {random/ship/1/shipname} холодніє в затіненому хребті поблизу опуклості в А-кільці. Ані сигналів двигунів, ані аварійних пінгів. Може, екіпаж вискочив сам, а може, хтось добре постарався, щоб вони цього не зробили. Якщо встигнете завести її, вона ваша.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_3|Увага, мисливці за брухтом. K37-TNTRL із відміткою {random/ship/1/shipname} був помічений екіпажем екскаватора, який прочісував поклади берилію. Ні слідів кіптяви, ні пробоїн у корпусі — просто стоїть без діла серед пилу. Це може бути легкий улов, а можливо, вам доведеться битися з кимось, хто вважає корабель своїм.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_LCB_1|Сканери далекого радіусу вловили KX37, що повільно перекидається, тег {random/ship/1/shipname}, біля багатого на метали скупчення уламків. Один тепловий слід, жодного зв'язку, зареєстрований на вже покійного хлопця на ім'я {random/person/1/firstname} {random/person/1/lastname}. Шукаєте хороший тягач? Ось ваш шанс.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_LCB_2|Ми отримали свіжий сигнал від полярних телескопів, і візуальні дані, схоже, підтверджують подовжену версію класичного K37 — рідкісна здобич! Сканування транспондера на дальній відстані видає {random/ship/1/shipname}. Зумієте її відтягнути — вона ваша!

DIALOG_SALVAGE_EXPOSE_SLOW_K37_LCB_3|Рідкісний випадок від шахтаря, що пролітав поруч — KX37-TNTRL із позначенням {random/ship/1/shipname}. Модель із подовженим вантажним відсіком, без жодних видимих пошкоджень. Його або кинули, або щось значно більше його відлякало. Якщо вам потрібне місце під вантаж, заради нього варто здійснити політ.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-R_1|Екіпаж екскаватора доповів про KR37, тег {random/ship/1/shipname}, що завмер поблизу шахтарського коридору. Схоже, наукова команда спакувала речі поспіхом — шлюз навстіж відкритий, аварійні маячки мовчать. Транспондер усе ще пінгує. Це може бути чиста знахідка, або ж хтось за нею повернеться.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-R_2|Свіжий звіт про уламки: KR37 під іменем {random/ship/1/shipname} помічено біля густої хмари пилу. Важкі щити все ще тримають удар, але сама посудина стоїть мертво. Ці моделі зустрічаються рідко і їхні бортові комп'ютери обійдуться вам у кругленьку суму. Навіть якщо вцілів лише Obonto 600, це вже окупить ваш політ.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-R_3|Сигнал із далеких радарів вказує на KR37-TNTRL із позначенням {random/ship/1/shipname}, що бовтається біля старого дослідницького майданчика. На корпусі жодних пошкоджень, але датчики енергії скачуть туди-сюди. Можливо, барахлить реактор, а можливо, це наслідок штормів у кільцях. Якщо зумієте стабілізувати, отримаєте можливість піти звідти із першокласним науковим обладнанням.

DIALOG_SALVAGE_EXPOSE_SLOW_K37_TRTL-T_1|Щойно надійшло повідомлення про рятувальний буксир, KTA24-TNTRL, під позначенням {random/ship/1/shipname}, який востаннє числився за {random/person/1/lastname}. Сканери демонструють, що він блукає потемках біля місця старої аварії, сигналів лиха нема, як і ознак наявності екіпажу. Це мала бути звичайна рутина. Тож якщо ти десь там, {random/person/1/firstname}, подай ознаки життя, що ти все ще дихаєш.

